Class,Value,Description
1,E. D. Abbott Ltd, Abbott of Farnham E D Abbott Limited was a British coachbuilding business based in Farnham Surrey trading under that name from 1929. A major part of their output was under sub-contract to motor vehicle manufacturers. Their business closed in 1972.
1,Schwan-Stabilo, Schwan-STABILO is a German maker of pens for writing colouring and cosmetics as well as markers and highlighters for office use. It is the world's largest manufacturer of highlighter pens Stabilo Boss.
1,Q-workshop, Q-workshop is a Polish company located in Poznań that specializes in designand production of polyhedral dice and dice accessories for use in various games (role-playing gamesboard games and tabletop wargames). They also run an online retail store and maintainan active forum community.Q-workshop was established in 2001 by Patryk Strzelewicz – a student from Poznań. Initiallythe company sold its products via online auction services but in 2005 a website and online store wereestablished.
1,Marvell Software Solutions Israel, Marvell Software Solutions Israel known as RADLAN Computer Communications Limited before 2007 is a wholly owned subsidiary of Marvell Technology Group that specializes in local area network (LAN) technologies.
1,Bergan Mercy Medical Center, Bergan Mercy Medical Center is a hospital located in Omaha Nebraska. It is part of the Alegent Health System.
1,The Unsigned Guide, The Unsigned Guide is an online contacts directory and careers guide for the UK music industry. Founded in 2003 and first published as a printed directory The Unsigned Guide became an online only resource in November 2011.
1,Rest of the world, Within sports and games played at the international competitive level the Rest of the World refers to a team of players from many countries of origin that compete against a single individual or a team from a single group such as a club or country. The team was formed in 1998.
1,Globoforce, Globoforce is a multinational company co-headquartered in Southborough Massachusetts and Dublin Ireland providing cloud-based (software as a service) human capital management (HCM) software solutions. Its social recognition solutions are designed for employees to recognize and reward each other as incentive for performance and behaviors that are mapped to company values. A private corporation Globoforce is co-headquartered in Southborough Massachusetts and Dublin Ireland.
1,Rompetrol, The Rompetrol Group N.V. is a Romanian oil company that operates in many countries throughout Europe. The group is active primarily in refining marketing and trading with additional operations in exploration and production and other oil industry services such as drilling EPCM and transportation.
1,Wave Accounting, Wave is the brand name for a suite of online small business software products. The legal company name is Wave Accounting Inc. Wave is headquartered in the Leslieville neighbourhood in Toronto Canada and is currently being used in 200 countries.The company's first product was a free online accounting software designed for businesses with 1-9 employees.
2,Institute for Consumer Antitrust Studies, The Institute for Consumer Antitrust Studies is a non-partisan independent academic center designed to explore the impact of antitrust enforcement on the individual consumer and public and to shape policy issues. It is located at Loyola University Chicago School of Law in Chicago Illinois.The School of Law created the Institute in 1994 at the direction of then-dean Nina S. Appel Professor Jane H. Locke and a variety of other supporters.
2,Simeon Career Academy, Neal F. Simeon Career Academy (formerly known as Neal F. Simeon Vocational High School) is a public four-year vocational high school located in the Chatham neighborhood on the South Side of Chicago Illinois. It is part of the Chicago Public Schools system. The school is named for African-American educator and administrator Neal Ferdinand Simeon. Simeon opened in 1949.
2,University of Sydney Faculty of Engineering and Information Technologies, The Faculty of Engineering and Information Technologies is a constituent body of the University of Sydney Australia. It was established in 1920 and is Australia's oldest engineering school and one of the most prestigious.The school has an excellent academic reputation with its programs being ranked in 2011 by the QS World University Rankings by Subject at 21st in world for Civil Engineering and 27th in the world for Mechanical Engineering.
2,Defence College of Management and Technology, The Defence Academy - College of Management and Technology (DA-CMT) is a British postgraduate school research institution and training provider formed in 2009 from five departments of the Defence Academy of the United Kingdom and as such part of the British Armed Forces. Since 1984 Cranfield University has been the main academic provider of the college.
2,Pitt Academy, Pitt Academy was founded in 1949 by Monsignor Felix Newton Pitt. He found the school for Special Needs Kids. It participates in Special Olympics. There is a yearly barbecue in May of each year. The cooking team of Saint Pius X of Owensboro Kentucky comes to help. The location of the school is in Louisville Kentucky.
2,Northwest High School (McDermott Ohio), Northwest High School (NHS) is a public high school in McDermott Ohio in Scioto County in Southern Ohio. It is the only high school in the Northwest Local School District. Their nickname is the Mohawks and their school colors are red and blue.
2,John Bosco Group of Colleges, John Bosco Group of Colleges located in Tiruvallur Tamilnadu India is a group of colleges having many colleges in different streams.
2,Central University of Venezuela, The Central University of Venezuela (or Universidad Central de Venezuela UCV in Spanish) is a premier public University of Venezuela located in Caracas. Founded in 1721 it is the oldest university in Venezuela and one of the oldest in the Western Hemisphere .The main university campus Ciudad Universitaria de Caracas was designed by architect Carlos Raúl Villanueva and it is considered a masterpiece of urban planning and was declared a World Heritage Site by UNESCO in 2000.
2,Al-Najah Secondary School, Al-Najah Secondary School is a secondary all-girls school in Nablus Palestine. A number of leaders from the Istiqlal Party taught at the school including Izzat Darwaza Darwish al-Miqdadi and Akram Zu'aytar.
2,Etowah High School (Attalla Alabama), Etowah High School is a public high school located in Attalla Alabama that educates students in grades 9-12 and was founded in 1909. Its mascot is the blue devil. It is currently housed in the fourth building of the schools history. The current school is located on Case Ave the former site of Alma Hinson Middle School. This school replaced Officer's Club Jr. High which was housed in the officer's club on the Camp Sibert Army Base which was built during WW 11.
2,Business School Lausanne, Business School Lausanne (BSL) is a private business school located in Lausanne Switzerland and is part of the Lemania Group of Swiss Private Schools. BSL was founded in 1987 by John Hobbs a university professor who envisioned a more practical approach to business education.
3,Bob Ostertag, Robert Bob Ostertag (born April 19 1957 in Albuquerque New Mexico United States) is an experimental sound artist based in San Francisco.
3,Tony Vigorito, Tony Vigorito is an American author. His published books include Just a Couple of Days and Nine Kinds of Naked.
3,Jacob Miller (musician), Jacob Miller (May 4 1952 – March 23 1980) was a Jamaican reggae artist who first recorded with Clement Dodd. While pursuing a prolific solo career he became the lead singer for reggae group Inner Circle with whom he recorded until his death in a car accident at the age of 27.
3,Bo Ma, Ma Bo (born August 22 1947) is a Chinese non-fiction writer who currently resides in Beijing China.
3,August Mencken Jr., August Mencken (February 18 1889 – May 19 1967) was an American civil engineer and author. He was the younger brother of Henry Louis Mencken and the son of cigar magnate August Mencken Sr.
3,Mary Rogers (artist), Mary Maize C Gamble Rogers (1882–1920) was an American painter and sculptor born in Pittsburgh Pennsylvania. She studied with Robert Henri in New York City and with Lucien Simon and Émile-René Ménard in Paris.She painted in watercolor and was known for still lifes miniatures landscapes and cityscapes of New York City.
3,JMSN, Christian Berishaj better known by his stage name JMSN (pronounced Jameson) is an Albanian American singer-songwriter and record producer from Eastpointe Michigan. Also a multi-instrumentalist music engineer and mixer JMSN's debut album Priscilla was released in 2012. He wrote and produced the album by himself as well as directed the music videos accompanying its release.
3,John Bailey (producer), John Beetle Bailey is a Canadian freelance recording engineer who won the 2007 Juno Award for Recording Engineer of the Year. He has worked with such musicians as The Headstones Tom Cochrane Haywire Triumph and Love Inc..
3,Ahmed Fouad Negm, Ahmed Fouad Negm (Arabic: احمد فؤاد نجم‎ pronounced [ˈæħmæd foˈʔæːd ˈneɡm]; 22 May 1929 – 3 December 2013) popularly known as el-Fagommi الفاجومي ([elfæˈɡuːmi] was an Egyptian vernacular poet. Negm is well known for his work with Egyptian composer Sheikh Imam as well as his patriotic and revolutionary Egyptian Arabic poetry. Negm has been regarded as a bit of a folk hero in Egypt.
3,Fujiko (actress), Fujiko (不二子) real name Reiko Matsuo (松尾 玲子) or Reo Matsuo (松尾 玲央) born 5 March 1980 is Japanese actress and model.
3,Udo Kasemets, Udo Kasemets (November 16 1919 – January 19 2014) was an Estonian-born Canadian composer of orchestral chamber vocal piano and electroacoustic works. He was one of the first composers to adopt the methods of John Cage and was also a conductor lecturer pianist organist teacher and writer.Kasemets was born in Tallinn Estonia and trained at the Tallinn Conservatory and the Akademie der Musik in Stuttgart.
4,Steven Gluckstein, Steven Gluckstein (born June 24 1990) is an American trampoline athlete.
4,Jack Chapman, John Curtis Jack Chapman (May 8 1843 – June 10 1916) was an American Major League Baseball player and manager who was born in Brooklyn New York. He began playing in the National Association when he played for the 1874 Brooklyn Atlantics and the 1875 St. Louis Brown Stockings. In 1876 when the National League formed he became the player-manager for the Louisville Grays. The following season saw him staying with Louisville in the manager role only.
4,Roman Surnev, Roman Aleksandrovich Surnev (Russian: Роман Александрович Сурнев; born June 7 1981) is a Russian professional football player. He last played for FC Zenit Penza in the Russian Second Division.
4,Mansour Al-Mousa, Mansour Al-Mousa (Arabic: منصور الموسى‎) is a Saudi Arabian football player. He was born on October 29 1972 in Unaizah in Saudi Arabia and plays in the position of striker. He played for Al-Najma as a midfielder from 1990 And joined from 1983. and he One of the winners of 1989 FIFA U-17 World Championship.
4,Sanford White, Sanford Brownell Sammy White (May 4 1888 – April 11 1964) was an American football and baseball player. He played college football for the Princeton Tigers football team from 1910 to 1911 and was a consensus first-team All-American football player in 1911. He scored every point for the Tigers in their 1911 victories over Harvard and Yale leading the team to the eastern college football championship. White also played baseball and basketball at Princeton.
4,Dale Reid, Dale Reid OBE (born 20 March 1959) is a Scottish professional golfer from Ladybank Fife. She is one of the most successful players in the history of the Ladies European Tour with 21 tournament victories. She topped the Order of Merit in 1984 and 1987 and was made a life member of the tour after collecting her 20th title at the 1991 Ford Classic. She played for Europe in the first four Solheim Cups (1990 1992 1994 and 1996) and was Europe's non-playing captain in 2000 and 2002.
